playerid,season,name,team,position,games_played,mins_played,shifts,shots_on_goal,shot_attempts,points,goals,assists,primary_assists,secondary_assists,pp_points,pp_goals,pp_assists,pk_points,pk_goals,pk_assists,blocked_shots,hits,takeaways,giveaways,faceoffswon,faceoffslost,penalties,penalty_mins,penaltiesdrawn,penaltyminutesdrawn
8481161,2023,Jake Christiansen,CBJ,D,12,158.63,180,7,21,2,0,2,1,1,0,0,0,0,0,0,15,10,2,2,0,0,1,2,0,0
8481690,2023,Tyler Angle,CBJ,C,2,16.67,24,0,2,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,3,6,0,0,1,2
8482475,2023,Yegor Chinakhov,CBJ,R,53,803.88,1021,110,260,29,16,13,9,4,2,1,1,0,0,0,28,43,28,7,1,13,3,6,13,26
8482705,2023,Cole Sillinger,CBJ,C,77,1241.2,1602,157,281,32,13,19,12,7,1,1,0,1,0,1,74,119,31,21,450,522,20,46,12,30
8480441,2023,Trey Fix-Wolansky,CBJ,R,11,120.87,162,17,39,3,2,1,1,0,0,0,0,0,0,0,6,11,2,2,0,1,1,2,0,0
8479402,2023,Jake Bean,CBJ,D,72,1175.55,1393,76,191,13,4,9,6,3,0,0,0,0,0,0,110,28,25,15,0,0,16,32,6,12
8482660,2023,Kent Johnson,CBJ,C,42,568.75,717,62,119,16,6,10,6,4,0,0,0,0,0,0,16,10,16,7,8,12,4,10,5,10
8481716,2023,Dmitri Voronkov,CBJ,L,75,1009.27,1379,142,238,34,18,16,10,6,7,5,2,0,0,0,48,83,15,16,277,380,23,52,9,24
8483432,2023,Luca Del Bel Belluz,CBJ,C,1,9.58,14,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,1,2
8484149,2023,Gavin Brindley,CBJ,C,1,12.33,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8483045,2023,Cameron Butler,CBJ,R,1,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8479339,2023,Patrik Laine,CBJ,L,18,273.93,310,41,89,9,6,3,2,1,1,1,0,0,0,0,14,5,9,14,30,49,3,6,9,23
8476867,2023,Brendan Gaunce,CBJ,C,24,281.88,368,24,55,4,2,2,1,1,0,0,0,0,0,0,8,49,10,2,98,84,3,6,0,0
8483460,2023,David Jiricek,CBJ,D,43,627.7,776,38,94,10,1,9,5,4,0,0,0,0,0,0,45,23,10,20,0,0,11,22,3,6
