playerid,season,name,team,position,games_played,mins_played,shifts,shots_on_goal,shot_attempts,points,goals,assists,primary_assists,secondary_assists,blocked_shots,hits,takeaways,giveaways,faceoffswon,faceoffslost,penalties,penalty_mins,penaltiesdrawn,penalityminutesdrawn,pp_points,pp_goals,pp_assists,pk_points,pk_goals,pk_assists
8481441,2021,Joe Snively,WSH,C,12,138.68,178,21,35,7,4,3,2,1,3,2,7,1,0,1,1,2,1,2,1,1,0,0,0,0
8479933,2021,Gerry Mayhew,ANA,C,40,527.02,749,53,103,12,11,1,0,1,26,58,9,7,3,7,9,18,10,20,1,1,0,0,0,0
8478445,2021,Mathew Barzal,NYI,C,73,1315.43,1450,161,252,59,15,44,25,19,17,36,43,82,234,271,9,18,23,46,19,1,18,0,0,0
8475208,2021,Brian Dumoulin,PIT,D,76,1658.17,2040,91,185,18,3,15,4,11,139,88,34,46,0,0,12,24,7,14,0,0,0,0,0,0
8479941,2021,Justin Danforth,CBJ,R,45,565.7,792,72,131,14,10,4,3,1,22,85,15,2,108,91,5,10,13,26,1,0,1,0,0,0
8480011,2021,Klim Kostin,STL,C,40,360.6,501,31,60,9,4,5,2,3,9,90,9,16,2,2,10,23,12,27,0,0,0,0,0,0
8474089,2021,Brad Malone,EDM,C,8,66.23,108,7,11,2,1,1,1,0,1,22,0,2,13,14,1,2,1,2,0,0,0,0,0,0
8482149,2021,Cole Perfetti,WPG,C,18,254.67,313,21,48,7,2,5,5,0,2,17,7,5,0,3,0,0,2,4,1,0,1,0,0,0
8477070,2021,Liam O'Brien,ARI,C,39,369.62,548,36,67,3,2,1,1,0,10,139,6,8,5,5,23,76,20,70,0,0,0,0,0,0
8479996,2021,Cody Glass,NSH,C,8,91.27,132,9,15,1,0,1,0,1,4,13,1,2,20,37,0,0,1,2,0,0,0,0,0,0
8477320,2021,Anton Blidh,BOS,L,32,343.22,501,28,46,9,2,7,4,3,17,82,6,6,0,3,7,14,7,14,0,0,0,0,0,0
8479066,2021,Ryan Lomberg,FLA,L,55,627.35,899,91,162,18,9,9,4,5,7,117,18,9,1,6,20,52,25,61,0,0,0,1,0,1
8475176,2021,Ryan Ellis,PHI,D,4,91.22,117,6,13,5,1,4,1,3,6,1,2,5,0,0,0,0,0,0,2,0,2,0,0,0
